Year FOSSILCO2(GtC/yr)
1850 0.054000
1851 0.054000
1852 0.057000
1853 0.059000
1854 0.069000
1855 0.071000
1856 0.076000
1857 0.077000
1858 0.078000
1859 0.083000
1860 0.091000
1861 0.095000
1862 0.097000
1863 0.104000
1864 0.112000
1865 0.119000
1866 0.122000
1867 0.130223
1868 0.135252
1869 0.142281
1870 0.147311
1871 0.156340
1872 0.173369
1873 0.184398
1874 0.174428
1875 0.188457
1876 0.191486
1877 0.194515
1878 0.196000
1879 0.210000
1880 0.236000
1881 0.243000
1882 0.256000
1883 0.272000
1884 0.275000
1885 0.277000
1886 0.281000
1887 0.295000
1888 0.327000
1889 0.327000
1890 0.356000
1891 0.372000
1892 0.374000
1893 0.370000
1894 0.383000
1895 0.406000
1896 0.419000
1897 0.440000
1898 0.465000
1899 0.507000
1900 0.534000
1901 0.552000
1902 0.566000
1903 0.617000
1904 0.624000
1905 0.663000
1906 0.707000
1907 0.784000
1908 0.750000
1909 0.785000
1910 0.819000
1911 0.836000
1912 0.879000
1913 0.943000
1914 0.850000
1915 0.838000
1916 0.901000
1917 0.955000
1918 0.936000
1919 0.806000
1920 0.932000
1921 0.803000
1922 0.845000
1923 0.970000
1924 0.963000
1925 0.975000
1926 0.983000
1927 1.062000
1928 1.065000
1929 1.145000
1930 1.053000
1931 0.940000
1932 0.847000
1933 0.893000
1934 0.973000
1935 1.027000
1936 1.130000
1937 1.209000
1938 1.142000
1939 1.192000
1940 1.299000
1941 1.334000
1942 1.342000
1943 1.391000
1944 1.383000
1945 1.160000
1946 1.238000
1947 1.392000
1948 1.469000
1949 1.419000
1950 1.630000
1951 1.768000
1952 1.796000
1953 1.841000
1954 1.865000
1955 2.043000
1956 2.178000
1957 2.270000
1958 2.330000
1959 2.462000
1960 2.577000
1961 2.594000
1962 2.700000
1963 2.848000
1964 3.008000
1965 3.145000
1966 3.305000
1967 3.411000
1968 3.588000
1969 3.800000
1970 4.076000
1971 4.231000
1972 4.399000
1973 4.635000
1974 4.644000
1975 4.615000
1976 4.883000
1977 5.029000
1978 5.105000
1979 5.387000
1980 5.332000
1981 5.168000
1982 5.127000
1983 5.110000
1984 5.290000
1985 5.444000
1986 5.610000
1987 5.753000
1988 5.964000
1989 6.089000
1990 6.144000
1991 6.235000
1992 6.118000
1993 6.124000
1994 6.242000
1995 6.372000
1996 6.510000
1997 6.619000
1998 6.588000
1999 6.569000
2000 6.735000
2001 6.895900
2002 6.949000
2003 7.286000
2004 7.671900
2005 7.971000
2006 8.161500
2007 8.352300
2008 8.543400
2009 8.734500
2010 8.925600
2011 9.186790
2012 9.447980
2013 9.709170
2014 9.970360
2015 10.231550
2016 10.492740
2017 10.753930
2018 11.015120
2019 11.276310
2020 11.537500
2021 11.767660
2022 11.997820
2023 12.227980
2024 12.458140
2025 12.688300
2026 12.918460
2027 13.148620
2028 13.378780
2029 13.608940
2030 13.839100
2031 14.133850
2032 14.428600
2033 14.723350
2034 15.018100
2035 15.312850
2036 15.607600
2037 15.902350
2038 16.197100
2039 16.491850
2040 16.786600
2041 17.128400
2042 17.470200
2043 17.812000
2044 18.153800
2045 18.495600
2046 18.837400
2047 19.179200
2048 19.521000
2049 19.862800
2050 20.204600
2051 20.543750
2052 20.882900
2053 21.222050
2054 21.561200
2055 21.900350
2056 22.239500
2057 22.578650
2058 22.917800
2059 23.256950
2060 23.596100
2061 23.832710
2062 24.069320
2063 24.305930
2064 24.542540
2065 24.779150
2066 25.015760
2067 25.252370
2068 25.488980
2069 25.725590
2070 25.962200
2071 26.106590
2072 26.250980
2073 26.395370
2074 26.539760
2075 26.684150
2076 26.828540
2077 26.972930
2078 27.117320
2079 27.261710
2080 27.406100
2081 27.499160
2082 27.592220
2083 27.685280
2084 27.778340
2085 27.871400
2086 27.964460
2087 28.057520
2088 28.150580
2089 28.243640
2090 28.336700
2091 28.377030
2092 28.417360
2093 28.457690
2094 28.498020
2095 28.538350
2096 28.578680
2097 28.619010
2098 28.659340
2099 28.699670
2100 28.740000
