Year CO2(ppm)
1850 284.725000
1851 284.875000
1852 285.000000
1853 285.125000
1854 285.275000
1855 285.425000
1856 285.575000
1857 285.725000
1858 285.900000
1859 286.075000
1860 286.225000
1861 286.375000
1862 286.500000
1863 286.625000
1864 286.775000
1865 286.900000
1866 287.000000
1867 287.100000
1868 287.225000
1869 287.375000
1870 287.525000
1871 287.700000
1872 287.900000
1873 288.125000
1874 288.400000
1875 288.700000
1876 289.025000
1877 289.400000
1878 289.800000
1879 290.225000
1880 290.700000
1881 291.200000
1882 291.675000
1883 292.125000
1884 292.575000
1885 292.975000
1886 293.300000
1887 293.575000
1888 293.800000
1889 294.000000
1890 294.175000
1891 294.325000
1892 294.475000
1893 294.600000
1894 294.700000
1895 294.800000
1896 294.900000
1897 295.025000
1898 295.225000
1899 295.500000
1900 295.800000
1901 296.125000
1902 296.475000
1903 296.825000
1904 297.200000
1905 297.625000
1906 298.075000
1907 298.500000
1908 298.900000
1909 299.300000
1910 299.700000
1911 300.075000
1912 300.425000
1913 300.775000
1914 301.100000
1915 301.400000
1916 301.725000
1917 302.075000
1918 302.400000
1919 302.700000
1920 303.025000
1921 303.400000
1922 303.775000
1923 304.125000
1924 304.525000
1925 304.975000
1926 305.400000
1927 305.825000
1928 306.300000
1929 306.775000
1930 307.225000
1931 307.700000
1932 308.175000
1933 308.600000
1934 309.000000
1935 309.400000
1936 309.750000
1937 310.000000
1938 310.175000
1939 310.300000
1940 310.375000
1941 310.375000
1942 310.300000
1943 310.200000
1944 310.125000
1945 310.100000
1946 310.125000
1947 310.200000
1948 310.325000
1949 310.500000
1950 310.750000
1951 311.100000
1952 311.500000
1953 311.925000
1954 312.425000
1955 313.000000
1956 313.600000
1957 314.225000
1958 314.847500
1959 315.500000
1960 316.272500
1961 317.075000
1962 317.795000
1963 318.397500
1964 318.925000
1965 319.647500
1966 320.647500
1967 321.605000
1968 322.635000
1969 323.902500
1970 324.985000
1971 325.855000
1972 327.140000
1973 328.677500
1974 329.742500
1975 330.585000
1976 331.747500
1977 333.272500
1978 334.847500
1979 336.525000
1980 338.360000
1981 339.727500
1982 340.792500
1983 342.197500
1984 343.782500
1985 345.282500
1986 346.797500
1987 348.645000
1988 350.737500
1989 352.487500
1990 353.855000
1991 355.017500
1992 355.885000
1993 356.777500
1994 358.127500
1995 359.837500
1996 361.462500
1997 363.155000
1998 365.322500
1999 367.347500
2000 368.865000
2001 370.467500
2002 372.522500
2003 374.760000
2004 376.812500
2005 378.812500
2006 380.827500
2007 382.777500
2008 384.800000
2009 387.012260
2010 389.324160
2011 391.638010
2012 394.008660
2013 396.463840
2014 399.004020
2015 401.627930
2016 404.328190
2017 407.095880
2018 409.927010
2019 412.821510
2020 415.780220
2021 418.796290
2022 421.864390
2023 424.994690
2024 428.197340
2025 431.474730
2026 434.826190
2027 438.244560
2028 441.720800
2029 445.250850
2030 448.834850
2031 452.473590
2032 456.177000
2033 459.963980
2034 463.851810
2035 467.850030
2036 471.960470
2037 476.182370
2038 480.507990
2039 484.927240
2040 489.435450
2041 494.032350
2042 498.729700
2043 503.529590
2044 508.432660
2045 513.456140
2046 518.610620
2047 523.900060
2048 529.324180
2049 534.875200
2050 540.542790
2051 546.322010
2052 552.211890
2053 558.212200
2054 564.313110
2055 570.516690
2056 576.843430
2057 583.304710
2058 589.905390
2059 596.646560
2060 603.520450
2061 610.516500
2062 617.605260
2063 624.763670
2064 631.994710
2065 639.290520
2066 646.652740
2067 654.098430
2068 661.644910
2069 669.304740
2070 677.077620
2071 684.954290
2072 692.901960
2073 700.894160
2074 708.931590
2075 717.015480
2076 725.135970
2077 733.306670
2078 741.523680
2079 749.804660
2080 758.182300
2081 766.644510
2082 775.174460
2083 783.751410
2084 792.365780
2085 801.018800
2086 809.714640
2087 818.422140
2088 827.157190
2089 835.955940
2090 844.804710
2091 853.725360
2092 862.725970
2093 871.776800
2094 880.864350
2095 889.981620
2096 899.124070
2097 908.288710
2098 917.471370
2099 926.665270
2100 935.874370
