Calculated from global_tas_Amon_CCSM4_rcp85_ave.dat.txt using GCM_mean_temp_annual_convert.m
Year Temp(K)
1850 286.501108
1851 286.584400
1852 286.486042
1853 286.520100
1854 286.364783
1855 286.479642
1856 286.533783
1857 286.501683
1858 286.429150
1859 286.440425
1860 286.452042
1861 286.462767
1862 286.464467
1863 286.497900
1864 286.471950
1865 286.465658
1866 286.463675
1867 286.497367
1868 286.555792
1869 286.561500
1870 286.429525
1871 286.498733
1872 286.536433
1873 286.596892
1874 286.559133
1875 286.578375
1876 286.601133
1877 286.546700
1878 286.442758
1879 286.505017
1880 286.579817
1881 286.617250
1882 286.604317
1883 286.484900
1884 285.975742
1885 286.219483
1886 286.292333
1887 286.284133
1888 286.422050
1889 286.445258
1890 286.323133
1891 286.280800
1892 286.331642
1893 286.375200
1894 286.476183
1895 286.520000
1896 286.554083
1897 286.515983
1898 286.521383
1899 286.568775
1900 286.488417
1901 286.554242
1902 286.533283
1903 286.111217
1904 286.162358
1905 286.368058
1906 286.412133
1907 286.407367
1908 286.462983
1909 286.597075
1910 286.616817
1911 286.486708
1912 286.438225
1913 286.506267
1914 286.581383
1915 286.551375
1916 286.548667
1917 286.632617
1918 286.650758
1919 286.654292
1920 286.625042
1921 286.608100
1922 286.707833
1923 286.631483
1924 286.652775
1925 286.685367
1926 286.706758
1927 286.780192
1928 286.723158
1929 286.612200
1930 286.686725
1931 286.760367
1932 286.656633
1933 286.623958
1934 286.729967
1935 286.712917
1936 286.710258
1937 286.728808
1938 286.731600
1939 286.721367
1940 286.743142
1941 286.771325
1942 286.845200
1943 286.806433
1944 286.709808
1945 286.780175
1946 286.848875
1947 286.786308
1948 286.787783
1949 286.747275
1950 286.808867
1951 286.824450
1952 286.832850
1953 286.772242
1954 286.764700
1955 286.832400
1956 286.847375
1957 286.899775
1958 286.858917
1959 286.789892
1960 286.851783
1961 286.891217
1962 286.859675
1963 286.707483
1964 286.607358
1965 286.657183
1966 286.746892
1967 286.770958
1968 286.839008
1969 286.906083
1970 286.849383
1971 286.834275
1972 286.909000
1973 286.957425
1974 287.032133
1975 286.994017
1976 286.996683
1977 287.097550
1978 287.176550
1979 287.131408
1980 287.183217
1981 287.207608
1982 287.123675
1983 287.012733
1984 287.097758
1985 287.144275
1986 287.214917
1987 287.315425
1988 287.364133
1989 287.340175
1990 287.414875
1991 287.330125
1992 287.039758
1993 287.191242
1994 287.256592
1995 287.319067
1996 287.399783
1997 287.439333
1998 287.549058
1999 287.603300
2000 287.625508
2001 287.701492
2002 287.718308
2003 287.692600
2004 287.735375
2005 287.751625
2006 287.748700
2007 287.816342
2008 287.800283
2009 287.819683
2010 287.846158
2011 287.852783
2012 287.906075
2013 287.909008
2014 287.989217
2015 287.974808
2016 287.989608
2017 288.006475
2018 288.053550
2019 288.094583
2020 288.085383
2021 288.111492
2022 288.113717
2023 288.182525
2024 288.204067
2025 288.287533
2026 288.349417
2027 288.281092
2028 288.289983
2029 288.382917
2030 288.379508
2031 288.378200
2032 288.384825
2033 288.460408
2034 288.489433
2035 288.539258
2036 288.588950
2037 288.593283
2038 288.589592
2039 288.716317
2040 288.745700
2041 288.753308
2042 288.776575
2043 288.864433
2044 288.926592
2045 288.913767
2046 288.996158
2047 289.006433
2048 289.032917
2049 289.116117
2050 289.139858
2051 289.149400
2052 289.196467
2053 289.184983
2054 289.233117
2055 289.304492
2056 289.361308
2057 289.401292
2058 289.550550
2059 289.584992
2060 289.544050
2061 289.549917
2062 289.697008
2063 289.740808
2064 289.726158
2065 289.791058
2066 289.861133
2067 289.867467
2068 289.935875
2069 290.033800
2070 290.116458
2071 290.140033
2072 290.155525
2073 290.227225
2074 290.261067
2075 290.285033
2076 290.288083
2077 290.379925
2078 290.486150
2079 290.513117
2080 290.468092
2081 290.552767
2082 290.585292
2083 290.648542
2084 290.653417
2085 290.702983
2086 290.719450
2087 290.820667
2088 290.900625
2089 290.940750
2090 291.021067
2091 291.026933
2092 291.093008
2093 291.107458
2094 291.085783
2095 291.151783
2096 291.254508
2097 291.258350
2098 291.283467
2099 291.340517
2100 291.410600
