Calculated from global_tas_Amon_CanESM2_rcp85_ave.dat.txt using GCM_mean_temp_annual_convert.m
Year Temp(K)
1850 286.843200
1851 286.844325
1852 286.889067
1853 286.900475
1854 287.021567
1855 286.946925
1856 286.787100
1857 286.751850
1858 286.761225
1859 286.751067
1860 286.829308
1861 286.875683
1862 286.838558
1863 286.766992
1864 286.734042
1865 286.733933
1866 286.772233
1867 286.844817
1868 286.832958
1869 286.895042
1870 286.942942
1871 286.848358
1872 286.928508
1873 286.842317
1874 286.914542
1875 286.876058
1876 286.865633
1877 286.927300
1878 286.918167
1879 286.894067
1880 286.944017
1881 287.006500
1882 286.927017
1883 286.867458
1884 286.754875
1885 286.616658
1886 286.484608
1887 286.579383
1888 286.640392
1889 286.669500
1890 286.633675
1891 286.688300
1892 286.673033
1893 286.756192
1894 286.734267
1895 286.776692
1896 286.773733
1897 286.737150
1898 286.836142
1899 286.772842
1900 286.830300
1901 286.832217
1902 286.733950
1903 286.652058
1904 286.694842
1905 286.641475
1906 286.749242
1907 286.833858
1908 286.851125
1909 286.822658
1910 286.855933
1911 286.864083
1912 286.950483
1913 286.832450
1914 286.755200
1915 286.880625
1916 286.949825
1917 287.021008
1918 287.006300
1919 287.105267
1920 287.065917
1921 286.985108
1922 287.014767
1923 287.075350
1924 286.968250
1925 286.879833
1926 286.960192
1927 286.992367
1928 287.050567
1929 287.031058
1930 287.012567
1931 287.002883
1932 287.019467
1933 287.001333
1934 286.974900
1935 287.042392
1936 287.068325
1937 287.119050
1938 287.177675
1939 287.076533
1940 286.992067
1941 287.113025
1942 287.092817
1943 287.042167
1944 286.973867
1945 287.075417
1946 287.005875
1947 287.092575
1948 287.037550
1949 287.094867
1950 287.080058
1951 287.133683
1952 287.090925
1953 287.091667
1954 287.101158
1955 287.093442
1956 287.046825
1957 287.034092
1958 286.989333
1959 287.065150
1960 287.087483
1961 287.108242
1962 287.032717
1963 286.932617
1964 286.861000
1965 286.846975
1966 286.834308
1967 286.830583
1968 286.923700
1969 286.893217
1970 286.897942
1971 287.004008
1972 286.941108
1973 287.129475
1974 287.184908
1975 287.045250
1976 287.094258
1977 287.127850
1978 287.138217
1979 287.121008
1980 287.273308
1981 287.328350
1982 287.241300
1983 287.049825
1984 287.101500
1985 287.234400
1986 287.295467
1987 287.274208
1988 287.426792
1989 287.468442
1990 287.491400
1991 287.479675
1992 287.241567
1993 287.274917
1994 287.332917
1995 287.429500
1996 287.607933
1997 287.625067
1998 287.676517
1999 287.754608
2000 287.800517
2001 287.723500
2002 287.825967
2003 287.930950
2004 287.936617
2005 288.040642
2006 288.074175
2007 288.062350
2008 288.073242
2009 288.188458
2010 288.219817
2011 288.195117
2012 288.221175
2013 288.271667
2014 288.305117
2015 288.397175
2016 288.426600
2017 288.381042
2018 288.410750
2019 288.512825
2020 288.530550
2021 288.547450
2022 288.673450
2023 288.694217
2024 288.745858
2025 288.755133
2026 288.770267
2027 288.933342
2028 288.892583
2029 288.892467
2030 288.953067
2031 288.985258
2032 289.139625
2033 289.082942
2034 289.090750
2035 289.128050
2036 289.147067
2037 289.285975
2038 289.286883
2039 289.314008
2040 289.384850
2041 289.401750
2042 289.513392
2043 289.566633
2044 289.658900
2045 289.638175
2046 289.676642
2047 289.810092
2048 289.825692
2049 289.840683
2050 289.947867
2051 290.034900
2052 289.975000
2053 289.959758
2054 290.071242
2055 290.185033
2056 290.167575
2057 290.243175
2058 290.348158
2059 290.404200
2060 290.446733
2061 290.444292
2062 290.615325
2063 290.622058
2064 290.670342
2065 290.670292
2066 290.702808
2067 290.829858
2068 290.879208
2069 290.871050
2070 290.935475
2071 291.001675
2072 291.061183
2073 291.093592
2074 291.159575
2075 291.256808
2076 291.325242
2077 291.325467
2078 291.419325
2079 291.578633
2080 291.550767
2081 291.555817
2082 291.559567
2083 291.718458
2084 291.783733
2085 291.754217
2086 291.830933
2087 291.964183
2088 291.960333
2089 292.072250
2090 292.058542
2091 292.147017
2092 292.219150
2093 292.342258
2094 292.345833
2095 292.374258
2096 292.375067
2097 292.514783
2098 292.587533
2099 292.649658
2100 292.688817
