Calculated from global_tas_Amon_GISS-E2-R_rcp85_r1i1p1.dat.txt using GCM_mean_temp_annual_convert.m
Year Temp(K)
1852 287.546117
1853 287.542575
1854 287.534025
1855 287.600775
1856 287.440658
1857 287.247275
1858 287.354667
1859 287.495175
1860 287.528408
1861 287.529675
1862 287.520292
1863 287.516642
1864 287.522283
1865 287.568142
1866 287.582033
1867 287.657633
1868 287.447358
1869 287.636867
1870 287.673717
1871 287.528858
1872 287.545358
1873 287.643817
1874 287.604342
1875 287.544883
1876 287.511258
1877 287.574200
1878 287.471142
1879 287.489917
1880 287.504617
1881 287.511100
1882 287.525875
1883 287.494042
1884 287.180283
1885 287.157842
1886 287.318433
1887 287.356292
1888 287.488600
1889 287.451475
1890 287.416550
1891 287.374792
1892 287.402517
1893 287.550808
1894 287.578325
1895 287.638433
1896 287.514558
1897 287.585792
1898 287.562983
1899 287.544258
1900 287.542217
1901 287.676508
1902 287.601042
1903 287.355300
1904 287.428925
1905 287.464050
1906 287.455150
1907 287.537558
1908 287.558117
1909 287.570417
1910 287.625658
1911 287.651692
1912 287.575450
1913 287.546033
1914 287.533308
1915 287.553942
1916 287.582042
1917 287.591800
1918 287.634283
1919 287.691333
1920 287.644700
1921 287.629000
1922 287.517125
1923 287.613492
1924 287.620533
1925 287.716525
1926 287.617042
1927 287.661783
1928 287.749300
1929 287.668492
1930 287.751808
1931 287.693350
1932 287.679208
1933 287.694758
1934 287.792383
1935 287.794275
1936 287.671408
1937 287.813067
1938 287.791917
1939 287.659675
1940 287.676533
1941 287.714033
1942 287.725425
1943 287.643325
1944 287.640175
1945 287.725467
1946 287.689400
1947 287.661633
1948 287.801675
1949 287.833142
1950 287.703025
1951 287.742817
1952 287.765617
1953 287.805700
1954 287.862683
1955 287.857442
1956 287.774033
1957 287.780783
1958 287.779350
1959 287.820108
1960 287.812342
1961 287.766167
1962 287.789117
1963 287.721708
1964 287.593692
1965 287.628642
1966 287.710800
1967 287.725567
1968 287.746683
1969 287.750917
1970 287.750558
1971 287.839875
1972 287.774367
1973 287.954408
1974 287.957008
1975 287.947883
1976 288.000858
1977 287.983542
1978 287.910633
1979 287.985817
1980 288.041442
1981 288.051217
1982 287.915325
1983 287.720883
1984 287.848192
1985 287.900300
1986 287.902975
1987 287.945050
1988 288.033642
1989 288.031233
1990 288.092650
1991 287.936808
1992 287.688933
1993 287.822517
1994 287.861300
1995 288.040775
1996 288.020833
1997 288.032850
1998 288.204925
1999 288.246000
2000 288.220900
2001 288.344892
2002 288.292192
2003 288.337550
2004 288.388275
2005 288.353067
2006 288.410317
2007 288.423475
2008 288.372617
2009 288.347592
2010 288.388925
2011 288.472725
2012 288.451817
2013 288.524808
2014 288.579942
2015 288.555958
2016 288.563200
2017 288.610950
2018 288.538267
2019 288.596700
2020 288.621267
2021 288.631750
2022 288.678467
2023 288.714542
2024 288.679400
2025 288.787650
2026 288.879142
2027 288.863167
2028 288.970633
2029 288.819258
2030 288.883300
2031 289.003425
2032 288.976017
2033 289.028625
2034 289.136042
2035 289.124717
2036 289.144342
2037 289.205933
2038 289.188725
2039 289.250000
2040 289.231358
2041 289.302417
2042 289.172825
2043 289.210108
2044 289.241792
2045 289.302650
2046 289.274025
2047 289.342342
2048 289.459475
2049 289.402617
2050 289.508958
2051 289.406383
2052 289.461825
2053 289.526317
2054 289.573858
2055 289.645042
2056 289.616900
2057 289.710483
2058 289.706183
2059 289.706833
2060 289.782933
2061 289.815817
2062 289.888475
2063 289.901975
2064 289.947850
2065 289.989967
2066 289.920692
2067 289.956175
2068 289.912225
2069 289.978042
2070 289.973892
2071 289.969000
2072 289.991958
2073 290.062225
2074 290.222733
2075 290.207217
2076 290.177283
2077 290.313792
2078 290.255450
2079 290.263575
2080 290.293000
2081 290.330383
2082 290.342533
2083 290.394100
2084 290.387350
2085 290.484092
2086 290.497608
2087 290.588658
2088 290.667008
2089 290.649658
2090 290.641517
2091 290.654742
2092 290.720025
2093 290.712042
2094 290.767792
2095 290.741292
2096 290.695600
2097 290.746308
2098 290.846158
2099 290.876350
2100 290.939650
2101 290.949283
2102 290.888692
2103 291.079433
2104 291.069808
2105 291.077925
2106 291.085758
2107 291.067742
2108 291.105192
2109 291.165508
2110 291.223233
2111 291.291992
2112 291.309683
2113 291.397933
2114 291.379900
2115 291.327667
2116 291.278508
2117 291.340750
2118 291.389033
2119 291.383408
2120 291.386267
2121 291.438267
2122 291.397600
2123 291.368033
2124 291.469942
2125 291.518533
2126 291.530058
2127 291.472208
2128 291.485075
2129 291.597442
2130 291.605575
2131 291.600025
2132 291.605825
2133 291.713517
2134 291.768450
2135 291.800125
2136 291.735592
2137 291.678908
2138 291.753017
2139 291.788167
2140 291.864900
2141 291.922625
2142 291.936025
2143 291.873300
2144 291.890592
2145 291.931758
2146 291.948583
2147 292.011367
2148 291.958325
2149 291.977458
2150 291.987383
2151 291.941842
2152 292.046692
2153 292.025258
2154 292.006200
2155 292.085767
2156 292.059300
2157 292.146008
2158 292.158550
2159 292.084358
2160 292.151950
2161 292.171058
2162 292.155000
2163 292.216683
2164 292.230550
2165 292.273733
2166 292.255033
2167 292.318417
2168 292.268542
2169 292.233267
2170 292.181208
2171 292.207200
2172 292.214125
2173 292.199275
2174 292.242267
2175 292.372558
2176 292.280083
2177 292.328175
2178 292.293950
2179 292.309450
2180 292.298175
2181 292.397467
2182 292.378375
2183 292.390208
2184 292.441567
2185 292.388900
2186 292.509783
2187 292.502592
2188 292.540392
2189 292.518508
2190 292.563850
2191 292.565267
2192 292.537250
2193 292.561542
2194 292.482267
2195 292.494192
2196 292.430867
2197 292.435292
2198 292.424992
2199 292.404450
2200 292.427275
2201 292.404625
2202 292.485808
2203 292.512725
2204 292.462092
2205 292.462717
2206 292.568400
2207 292.489850
2208 292.549842
2209 292.553658
2210 292.500192
2211 292.560408
2212 292.516642
2213 292.605033
2214 292.634633
2215 292.706442
2216 292.728392
2217 292.759617
2218 292.760492
2219 292.749292
2220 292.708133
2221 292.742633
2222 292.670525
2223 292.710225
2224 292.727208
2225 292.640633
2226 292.648967
2227 292.691633
2228 292.737967
2229 292.701742
2230 292.674792
2231 292.662475
2232 292.744800
2233 292.663833
2234 292.727467
2235 292.734250
2236 292.779300
2237 292.747433
2238 292.771067
2239 292.855092
2240 292.875583
2241 292.828067
2242 292.881975
2243 292.804958
2244 292.858675
2245 292.872650
2246 292.771600
2247 292.811650
2248 292.910475
2249 292.887675
2250 292.846242
2251 292.907567
2252 292.819850
2253 292.843150
2254 292.890358
2255 292.938017
2256 292.954458
2257 292.901517
2258 292.913892
2259 292.874525
2260 292.937842
2261 292.953533
2262 292.980133
2263 293.021833
2264 292.980250
2265 292.905992
2266 292.985567
2267 293.059867
2268 293.014308
2269 293.187167
2270 293.131692
2271 293.090958
2272 293.053567
2273 293.031333
2274 293.032167
2275 293.018575
2276 293.114358
2277 293.120717
2278 293.196875
2279 293.140467
2280 293.209792
2281 293.192617
2282 293.071575
2283 293.140425
2284 293.093017
2285 293.041942
2286 293.092167
2287 293.031617
2288 293.043867
2289 293.110058
2290 293.143275
2291 293.104500
2292 293.054592
2293 293.039258
2294 293.076067
2295 293.103133
2296 293.165675
2297 293.139317
2298 293.087667
2299 293.147050
2300 293.078133
