Calculated from global_tas_Amon_HadGEM2-ES_historicalNat_ave.dat.txt using GCM_mean_temp_annual_convert.m
Year Temp(K)
1860 286.836983
1861 286.893042
1862 286.893483
1863 286.929392
1864 286.864708
1865 286.790033
1866 286.760500
1867 286.807750
1868 286.809167
1869 286.831300
1870 286.901192
1871 286.926250
1872 286.909267
1873 286.930250
1874 286.881333
1875 286.846883
1876 286.739642
1877 286.737333
1878 286.762625
1879 286.785417
1880 286.712833
1881 286.745492
1882 286.744583
1883 286.661367
1884 286.510433
1885 286.442767
1886 286.508642
1887 286.561192
1888 286.655258
1889 286.618333
1890 286.513192
1891 286.542083
1892 286.523992
1893 286.601300
1894 286.584917
1895 286.627917
1896 286.642158
1897 286.615600
1898 286.693542
1899 286.732825
1900 286.734183
1901 286.716375
1902 286.737717
1903 286.632025
1904 286.682258
1905 286.828517
1906 286.799350
1907 286.766367
1908 286.760675
1909 286.684625
1910 286.660142
1911 286.770692
1912 286.775925
1913 286.733917
1914 286.749233
1915 286.703458
1916 286.791517
1917 286.843300
1918 286.870458
1919 286.927333
1920 287.013333
1921 286.939575
1922 286.888550
1923 286.869992
1924 286.868617
1925 286.858775
1926 286.947783
1927 286.968083
1928 286.998133
1929 286.995775
1930 286.977650
1931 286.999908
1932 286.967833
1933 286.933533
1934 286.805442
1935 286.696792
1936 286.797308
1937 286.832333
1938 286.935125
1939 287.055708
1940 286.978625
1941 286.929942
1942 286.880817
1943 286.850708
1944 286.940192
1945 286.915600
1946 286.853425
1947 286.866067
1948 286.910833
1949 286.899000
1950 286.890917
1951 287.006308
1952 286.952267
1953 286.860325
1954 286.889525
1955 286.875167
1956 286.850242
1957 286.818725
1958 286.918267
1959 286.839575
1960 286.770817
1961 286.786158
1962 286.828117
1963 286.707817
1964 286.629783
1965 286.601900
1966 286.612158
1967 286.561800
1968 286.621183
1969 286.590683
1970 286.680233
1971 286.731558
1972 286.751825
1973 286.740625
1974 286.730525
1975 286.705108
1976 286.758783
1977 286.811533
1978 286.824867
1979 286.846383
1980 286.848683
1981 286.881450
1982 286.834750
1983 286.674525
1984 286.733600
1985 286.783100
1986 286.789700
1987 286.791117
1988 286.811650
1989 286.875933
1990 286.852225
1991 286.804100
1992 286.574675
1993 286.629442
1994 286.689600
1995 286.685950
1996 286.678217
1997 286.723842
1998 286.691933
1999 286.688750
2000 286.795525
2001 286.907858
2002 286.877242
2003 286.940075
2004 286.893558
2005 286.843300
2006 286.904967
2007 286.901225
2008 286.904858
2009 286.920783
2010 286.889283
2011 286.884100
2012 286.825850
2013 286.881475
2014 286.891042
2015 286.948908
2016 286.952733
2017 286.919342
2018 286.916208
2019 286.847975
