Calculated from global_tas_Amon_HadGEM2-ES_rcp60_ave.dat.txt using GCM_mean_temp_annual_convert.m
Year Temp(K)
1860 286.851525
1861 286.853508
1862 286.934325
1863 286.852242
1864 286.908300
1865 286.763517
1866 286.687808
1867 286.729000
1868 286.670150
1869 286.756500
1870 286.791867
1871 286.790700
1872 286.869025
1873 286.939017
1874 286.950108
1875 286.869767
1876 286.776525
1877 286.804367
1878 286.874983
1879 286.840258
1880 286.752600
1881 286.771100
1882 286.710775
1883 286.675583
1884 286.506967
1885 286.528375
1886 286.553800
1887 286.567808
1888 286.634925
1889 286.591658
1890 286.549758
1891 286.472717
1892 286.608092
1893 286.636800
1894 286.673350
1895 286.759567
1896 286.803008
1897 286.724783
1898 286.760583
1899 286.892800
1900 286.870300
1901 286.922508
1902 286.842942
1903 286.648958
1904 286.558233
1905 286.699767
1906 286.727775
1907 286.775942
1908 286.774067
1909 286.733225
1910 286.827817
1911 286.734067
1912 286.730850
1913 286.725292
1914 286.757258
1915 286.830417
1916 286.916267
1917 286.962050
1918 286.898950
1919 286.936142
1920 286.954808
1921 286.969742
1922 286.991583
1923 286.960567
1924 286.982750
1925 287.006025
1926 286.995108
1927 286.923250
1928 286.958733
1929 286.992125
1930 286.974433
1931 286.923325
1932 286.947892
1933 286.976758
1934 286.972542
1935 286.947658
1936 286.983317
1937 287.014683
1938 287.041967
1939 287.029658
1940 286.931858
1941 286.971458
1942 286.978700
1943 286.997650
1944 287.018367
1945 287.043508
1946 287.096308
1947 287.100192
1948 287.161675
1949 287.139908
1950 287.072925
1951 287.018200
1952 286.952392
1953 286.978275
1954 286.984142
1955 286.963992
1956 287.056408
1957 287.045283
1958 286.996225
1959 286.977292
1960 286.867408
1961 286.930525
1962 286.921617
1963 286.860033
1964 286.734333
1965 286.630667
1966 286.643058
1967 286.702167
1968 286.833458
1969 286.829283
1970 286.798108
1971 286.776075
1972 286.888875
1973 286.856883
1974 286.925775
1975 286.789642
1976 286.763108
1977 286.904042
1978 286.871208
1979 286.947083
1980 287.003433
1981 287.027575
1982 287.017508
1983 286.895833
1984 286.927283
1985 287.027575
1986 287.045058
1987 287.022100
1988 287.018475
1989 287.045308
1990 287.111208
1991 287.124942
1992 286.840933
1993 286.913217
1994 287.002533
1995 287.058650
1996 287.078117
1997 287.137558
1998 287.285683
1999 287.322833
2000 287.367808
2001 287.454925
2002 287.455700
2003 287.493025
2004 287.497325
2005 287.519075
2006 287.504342
2007 287.545258
2008 287.584517
2009 287.614475
2010 287.579292
2011 287.587375
2012 287.718492
2013 287.774983
2014 287.860717
2015 287.836000
2016 287.812425
2017 287.817783
2018 287.741233
2019 287.757783
2020 287.869433
2021 287.906442
2022 287.851583
2023 287.859258
2024 287.861950
2025 287.945992
2026 288.033450
2027 288.061633
2028 288.167242
2029 288.165367
2030 288.099767
2031 288.180158
2032 288.149942
2033 288.149967
2034 288.216942
2035 288.244283
2036 288.275950
2037 288.350225
2038 288.396200
2039 288.449300
2040 288.471417
2041 288.560450
2042 288.576317
2043 288.517200
2044 288.603083
2045 288.633583
2046 288.704717
2047 288.704200
2048 288.660658
2049 288.709808
2050 288.788608
2051 288.880533
2052 288.926700
2053 288.950150
2054 288.963442
2055 288.941975
2056 289.051808
2057 289.155333
2058 289.270217
2059 289.247525
2060 289.223833
2061 289.185908
2062 289.215083
2063 289.265658
2064 289.348308
2065 289.246825
2066 289.347092
2067 289.410158
2068 289.503267
2069 289.568883
2070 289.639408
2071 289.558933
2072 289.544425
2073 289.595142
2074 289.596092
2075 289.689225
2076 289.860067
2077 289.802692
2078 289.846358
2079 289.852558
2080 289.921550
2081 289.985275
2082 289.978933
2083 289.901508
2084 289.867775
2085 289.953883
2086 289.996950
2087 290.112358
2088 290.145208
2089 290.235283
2090 290.348925
2091 290.322158
2092 290.301125
2093 290.426783
2094 290.451750
2095 290.514475
2096 290.498483
2097 290.432058
2098 290.445967
2099 290.559767
2100 290.571700
