Calculated from global_tas_Amon_IPSL-CM5A-LR_rcp85_ave.dat.txt using GCM_mean_temp_annual_convert.m
Year Temp(K)
1850 285.197167
1851 285.198733
1852 285.291075
1853 285.274425
1854 285.268108
1855 285.208550
1856 285.051367
1857 285.041525
1858 285.115217
1859 285.115658
1860 285.138408
1861 285.141142
1862 285.219308
1863 285.258867
1864 285.287025
1865 285.316883
1866 285.300050
1867 285.196608
1868 285.254125
1869 285.347533
1870 285.309550
1871 285.296817
1872 285.249892
1873 285.317067
1874 285.310867
1875 285.448692
1876 285.392683
1877 285.306533
1878 285.420958
1879 285.360625
1880 285.334733
1881 285.530783
1882 285.487825
1883 285.295208
1884 285.005758
1885 284.970625
1886 285.050850
1887 285.086742
1888 285.143275
1889 285.100617
1890 285.107550
1891 285.125458
1892 285.156350
1893 285.201683
1894 285.220642
1895 285.254717
1896 285.256567
1897 285.206558
1898 285.220075
1899 285.252750
1900 285.259517
1901 285.319292
1902 285.297442
1903 285.154875
1904 285.280917
1905 285.305208
1906 285.302383
1907 285.326175
1908 285.359108
1909 285.382017
1910 285.353075
1911 285.424367
1912 285.372750
1913 285.317317
1914 285.453158
1915 285.470617
1916 285.358608
1917 285.427117
1918 285.418833
1919 285.323092
1920 285.410717
1921 285.520133
1922 285.529858
1923 285.517175
1924 285.448533
1925 285.446883
1926 285.557092
1927 285.593408
1928 285.526558
1929 285.539658
1930 285.586117
1931 285.533308
1932 285.549308
1933 285.523467
1934 285.491075
1935 285.405175
1936 285.642858
1937 285.715983
1938 285.630458
1939 285.587008
1940 285.610450
1941 285.675617
1942 285.644100
1943 285.674142
1944 285.695917
1945 285.712850
1946 285.733675
1947 285.701008
1948 285.675408
1949 285.763292
1950 285.750025
1951 285.711108
1952 285.652375
1953 285.701642
1954 285.699800
1955 285.622300
1956 285.675500
1957 285.745425
1958 285.669625
1959 285.664650
1960 285.805725
1961 285.782858
1962 285.661242
1963 285.516692
1964 285.373483
1965 285.459317
1966 285.533225
1967 285.613383
1968 285.558908
1969 285.485242
1970 285.596750
1971 285.675967
1972 285.722950
1973 285.741608
1974 285.721875
1975 285.714217
1976 285.811475
1977 285.787000
1978 285.770300
1979 285.869550
1980 285.881850
1981 286.014958
1982 285.903558
1983 285.864592
1984 285.955217
1985 285.965433
1986 285.988500
1987 286.057425
1988 286.138658
1989 286.194142
1990 286.244142
1991 286.153125
1992 286.000633
1993 286.103958
1994 286.094700
1995 286.176133
1996 286.239350
1997 286.291442
1998 286.398433
1999 286.447692
2000 286.443425
2001 286.510925
2002 286.565133
2003 286.585725
2004 286.601667
2005 286.666700
2006 286.568200
2007 286.606725
2008 286.714683
2009 286.780333
2010 286.769250
2011 286.766108
2012 286.790917
2013 286.784317
2014 286.822117
2015 286.880375
2016 286.917417
2017 286.979292
2018 286.877592
2019 286.967625
2020 287.008417
2021 287.036133
2022 287.094767
2023 287.137325
2024 287.167000
2025 287.129583
2026 287.259667
2027 287.322733
2028 287.330500
2029 287.376125
2030 287.410683
2031 287.438217
2032 287.549317
2033 287.467442
2034 287.578133
2035 287.659392
2036 287.737025
2037 287.696850
2038 287.774275
2039 287.787017
2040 287.840625
2041 287.776642
2042 287.932308
2043 288.042300
2044 288.089025
2045 288.111508
2046 288.105225
2047 288.228258
2048 288.294508
2049 288.356975
2050 288.378725
2051 288.457917
2052 288.531233
2053 288.598075
2054 288.651792
2055 288.617375
2056 288.752383
2057 288.716308
2058 288.856233
2059 288.965808
2060 288.944950
2061 288.961583
2062 289.084258
2063 289.124033
2064 289.251175
2065 289.299842
2066 289.325942
2067 289.273875
2068 289.382733
2069 289.584842
2070 289.678533
2071 289.576267
2072 289.561733
2073 289.711325
2074 289.741383
2075 289.773892
2076 289.847792
2077 289.896100
2078 289.950067
2079 290.061242
2080 290.096033
2081 290.167458
2082 290.205575
2083 290.275075
2084 290.357708
2085 290.418558
2086 290.319167
2087 290.472975
2088 290.542883
2089 290.572633
2090 290.754367
2091 290.802042
2092 290.778167
2093 290.803933
2094 290.871908
2095 290.955400
2096 291.074283
2097 291.161375
2098 291.126692
2099 291.187892
2100 291.231867
