Calculated from global_tas_Amon_modmean_rcp85_000.dat.txt using GCM_mean_temp_annual_convert.m
Year Temp(K)
1860 286.660950
1861 286.680542
1862 286.670925
1863 286.666133
1864 286.674242
1865 286.678183
1866 286.678925
1867 286.700092
1868 286.711400
1869 286.732467
1870 286.733992
1871 286.736133
1872 286.726842
1873 286.754567
1874 286.760992
1875 286.758717
1876 286.732233
1877 286.729325
1878 286.719275
1879 286.734883
1880 286.734075
1881 286.754675
1882 286.760733
1883 286.690100
1884 286.432092
1885 286.433942
1886 286.504342
1887 286.522142
1888 286.562142
1889 286.568942
1890 286.572550
1891 286.541992
1892 286.577308
1893 286.630750
1894 286.665225
1895 286.711033
1896 286.701108
1897 286.696058
1898 286.705533
1899 286.726900
1900 286.733808
1901 286.735892
1902 286.712808
1903 286.531200
1904 286.563275
1905 286.630617
1906 286.650642
1907 286.670825
1908 286.694317
1909 286.718325
1910 286.746683
1911 286.740617
1912 286.702600
1913 286.648367
1914 286.708183
1915 286.750775
1916 286.756917
1917 286.778258
1918 286.799683
1919 286.803567
1920 286.830800
1921 286.834367
1922 286.831367
1923 286.841542
1924 286.848767
1925 286.856058
1926 286.860842
1927 286.874008
1928 286.872542
1929 286.858267
1930 286.846158
1931 286.855058
1932 286.862542
1933 286.846483
1934 286.845950
1935 286.878658
1936 286.901083
1937 286.930000
1938 286.922892
1939 286.916500
1940 286.913275
1941 286.937400
1942 286.924958
1943 286.916808
1944 286.921558
1945 286.931708
1946 286.932700
1947 286.940700
1948 286.955492
1949 286.967650
1950 286.952325
1951 286.941833
1952 286.933142
1953 286.928000
1954 286.940283
1955 286.936042
1956 286.943267
1957 286.965867
1958 286.961017
1959 286.960633
1960 286.981150
1961 286.969042
1962 286.944825
1963 286.878708
1964 286.745100
1965 286.782492
1966 286.820892
1967 286.857125
1968 286.872358
1969 286.861475
1970 286.892250
1971 286.943283
1972 286.965850
1973 286.969892
1974 286.976167
1975 286.958150
1976 286.962425
1977 287.007025
1978 287.073358
1979 287.098108
1980 287.118825
1981 287.154825
1982 287.099592
1983 286.996158
1984 287.069208
1985 287.112008
1986 287.132892
1987 287.187192
1988 287.225442
1989 287.264808
1990 287.319850
1991 287.263517
1992 287.046908
1993 287.105350
1994 287.183550
1995 287.250567
1996 287.325367
1997 287.389033
1998 287.399892
1999 287.430108
2000 287.485642
2001 287.545633
2002 287.567975
2003 287.578875
2004 287.600725
2005 287.621892
2006 287.638633
2007 287.632125
2008 287.659192
2009 287.692400
2010 287.707633
2011 287.712367
2012 287.743350
2013 287.798133
2014 287.827308
2015 287.866575
2016 287.895942
2017 287.910767
2018 287.912467
2019 287.934908
2020 287.970375
2021 288.028792
2022 288.074342
2023 288.080983
2024 288.096033
2025 288.156858
2026 288.223450
2027 288.236233
2028 288.274367
2029 288.297933
2030 288.292217
2031 288.328150
2032 288.373067
2033 288.402858
2034 288.446742
2035 288.482375
2036 288.525492
2037 288.553367
2038 288.591892
2039 288.661042
2040 288.691858
2041 288.711258
2042 288.741267
2043 288.814150
2044 288.851858
2045 288.858642
2046 288.910658
2047 288.981650
2048 289.020425
2049 289.033358
2050 289.119117
2051 289.148858
2052 289.187042
2053 289.247100
2054 289.276483
2055 289.329417
2056 289.371383
2057 289.421358
2058 289.481000
2059 289.510783
2060 289.576475
2061 289.638450
2062 289.672675
2063 289.721117
2064 289.769892
2065 289.816525
2066 289.871625
2067 289.923475
2068 289.947717
2069 289.996692
2070 290.042033
2071 290.098300
2072 290.148800
2073 290.196967
2074 290.253083
2075 290.297192
2076 290.336975
2077 290.395383
2078 290.429767
2079 290.485933
2080 290.526008
2081 290.577992
2082 290.610667
2083 290.645550
2084 290.686458
2085 290.745267
2086 290.796967
2087 290.846375
2088 290.894692
2089 290.947650
2090 291.004367
2091 291.074025
2092 291.110517
2093 291.137492
2094 291.187583
2095 291.236225
2096 291.290300
2097 291.371208
2098 291.395175
2099 291.423408
2100 291.493175
